----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Observed  |            Ritz    |  Rel. |    Aki    | Acc. |        Ei           Ek        |              Lower level              |              Upper level               |Type|                  TP  |   Line  |
         Wavelength |         Wavelength |  Int. |    s^-1   |      |      (cm-1)       (cm-1)      |---------------------------------------|----------------------------------------|    |                 Ref. |   Ref.  |
          Air  (Å)  |          Air  (Å)  |  (?)  |           |      |                               | Conf.                 | Term    | J   | Conf.                  | Term    | J   |    |                      |         |
                    |           5127.801 |       | 3.3e+04   | D    | 105617.2700   -  125113.376   | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2   | 3s2.3p5.(2P*<1/2>).6d  | 2[5/2]* | 2   |    |               T1218n |         |
           5151.391 |           5151.391 |     5 | 2.39e+06  | C    | 104102.0990   -  123508.927   | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).6d  | 2[1/2]* | 0   |    |               T1218n |  L2634  |
                    |           5152.303 |       | 1.1e+05   | D    | 104102.0990   -  123505.4896  | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<1/2>).5d  | 2[5/2]* | 2   |    |               T1218n |         |
           5162.285 |           5162.285 |    15 | 1.90e+06  | C    | 104102.0990   -  123467.9733  | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).6d  | 2[1/2]* | 1   |    |               T1218n |  L2634  |
                    |                    |       |           |      |                               |                       |         |     |                        |         |     |    |                      |         |
                    |           5177.536 |       | 2.4e+05   | D    | 105462.7596   -  124771.59    | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3   | 3s2.3p5.(2P*<3/2>).9s  | 2[3/2]* | 2   |    |               T1218n |         |
           5187.746 |           5187.746 |    20 | 1.38e+06  | C    | 104102.0990   -  123372.9253  | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<1/2>).5d  | 2[3/2]* | 2   |    |        T1218n,T1164n |  L2634  |
                    |           5192.733 |       | 1.2e+04   | D    | 105462.7596   -  124715.081   | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3   | 3s2.3p5.(2P*<3/2>).7d  | 2[5/2]* | 3   |    |               T1218n |         |
                    |           5194.052 |       | 7.8e+05   | D    | 106087.2598   -  125334.69    | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 1   | 3s2.3p5.(2P*<1/2>).8s  | 2[1/2]* | 0   |    |               T1218n |         |
                    |           5210.486 |       | 1.1e+05   | D    | 105462.7596   -  124649.485   | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3   | 3s2.3p5.(2P*<3/2>).7d  | 2[7/2]* | 3   |    |               T1164n |         |
